source_id,channel,playlist_title,playlist_id,series_doc_id,youtube_count,firestore_count,gap
50,הסדר חיפה,בניין הנפש | הרב יוסי קורט,PL-OGaafHhzgLqLGTKl_NycbxzmOuCNmHI,ser_8191470023773301,18,7,11
50,הסדר חיפה,הרב אליהו זייני | הר הבית ובית המקדש,PL-OGaafHhzgIB1g8vB0E3JA_w5Wam0pqG,ser_6183796889054840,6,0,6
50,הסדר חיפה,הרב אליהו זייניי | חגים ומועדים,PL-OGaafHhzgKAj1xzP6c-_JyiqJSHwd10,ser_5073706150987766,14,3,11
50,הסדר חיפה,הרב אליהו זייני | הושענא רבה,PL-OGaafHhzgKD3-RSJ7Z6G0SziCWokERw,ser_3893611877477232,12,4,8
50,הסדר חיפה,הרב אליהו זייני | שיחות ליום העצמאות,PL-OGaafHhzgLW_DQsxoiUtsmqsjxQU-zh,ser_7968834515109210,13,6,7
50,הסדר חיפה,הרב אליהו זייני | ראיונות,PL-OGaafHhzgIZn9CPWtZMtDqOhCTVxs1o,ser_2544699497501231,58,6,52
50,הסדר חיפה,הרב אליהו זייני | כל השיעורים,PL-OGaafHhzgKufFl1Z2raaBKs2hynahAM,ser_4543432032550969,85,41,44
51,ישיבת המאירי,פרשת השבוע,PLuoHzqL_kXlev1s8T8UkjZ7-hPd2kSbOW,ser_2616178773228876,59,1,58
51,ישיבת המאירי,חגי ישראל,PLuoHzqL_kXlepXF1pLA3rCrkeaKTmpdUD,ser_7293862379527712,33,4,29
51,ישיבת המאירי,"הרב שמואל זעפרני זצ""ל",PLuoHzqL_kXlexhSGcXQ_GIRQIafdvU_Y-,ser_6286221033074484,93,77,16
51,ישיבת המאירי,"הרב איסר קלונסקי שליט""א - אורות הקודש",PLuoHzqL_kXlcj3AN-imnfr0_HTTK6xqQo,ser_2081141652051230,64,40,24
51,ישיבת המאירי,"הרב עדיאל אסייג שליט""א",PLuoHzqL_kXld6CX1QW7lyN_Z4k6F36A_5,ser_7206893582367110,92,85,7
52,הסדר טפחות,מועדים | פסח,PL3oLF48e1rcUUnWe1syg7mys1B5QNRtTs,ser_9211488803848028,23,0,23
52,הסדר טפחות,אישים | הרב אייל גריינר,PL3oLF48e1rcVTCvwPxwCsa_gBLsYkUyce,ser_7145083124341555,36,15,21
52,הסדר טפחות,פנימיות | הרב אבנר עובדיה,PL3oLF48e1rcVC9v57DYt_M24RsY8gxlRR,ser_9780246422895807,106,25,81
52,הסדר טפחות,"לימוד באורח חיים, ללומדי רבנות | הרב אייל גריינר",PL3oLF48e1rcU5W_HpVwK-mFu7zLbNbfD9,ser_5133524746418398,30,0,30
52,הסדר טפחות,"דקותיים לפרשה | הרב אייל גריינר | התשפ""ב",PL3oLF48e1rcWq2vBhSJnNelboj7ep-W4W,ser_2517764857330476,66,29,37
52,הסדר טפחות,הלכות כשרות - בין בשר לחלב | הרב אייל גריינר,PL3oLF48e1rcXRXLwSE3DcxIWZAgoJOUa4,ser_5420066171796102,18,12,6
52,הסדר טפחות,דקותיים לשבת | הרב אייל גריינר,PL3oLF48e1rcUZXlFjohD415LhPTzrfn_2,ser_1176804226978377,56,44,12
60,מעלה אדומים,פרשת כי תשא,PLTpvRg1R6379uVoxevvHQsXTZCSmhQWW0,ser_2923617941825764,15,1,14
60,מעלה אדומים,פרשת ויגש,PLTpvRg1R637_4mMMWmOGVerpUNV9xkbui,ser_3450845193446613,21,0,21
60,מעלה אדומים,שירי ישיבת ברכת משה,PLTpvRg1R637-6pRPzbrlEUNWPkFKvk-PQ,ser_6981946044366833,19,4,15
60,מעלה אדומים,"לקראת שבת (תשפ""ו) - רה""י הרב חיים סבתו",PLTpvRg1R637-JJV38owmEadleCbvo__QX,ser_6920912035120568,30,4,26
60,מעלה אדומים,פרשת האזינו,PLTpvRg1R6378yZZgSsSd3QC8LGn0QJupb,ser_3324547843604911,10,3,7
60,מעלה אדומים,פרשת וילך,PLTpvRg1R6378hwpndka3Ozcsh0Ea8mhzr,ser_9055780957373010,13,2,11
60,מעלה אדומים,פרשת נצבים,PLTpvRg1R637839wfXDlRIWJxughbWoR6j,ser_6841276110413206,14,1,13
60,מעלה אדומים,פרשת כי תבוא,PLTpvRg1R6379_jwak_CBuywDVuFhL7A2u,ser_2696301638789717,14,1,13
60,מעלה אדומים,פרשת כי תצא,PLTpvRg1R6378R4RA0sW51m9VWgP2sUwFD,ser_1406195068228024,15,1,14
60,מעלה אדומים,פרשת שופטים,PLTpvRg1R6379Ofmn7jEBOWSNvasBbQ-IG,ser_6596161709519119,13,1,12
60,מעלה אדומים,פרשת ראה,PLTpvRg1R637_zLOEfCemQAGaEDtLVS04C,ser_1756941354637703,11,1,10
60,מעלה אדומים,פרשת עקב,PLTpvRg1R6378_tsAynmpZ9S4h4QequSIx,ser_4544164186391133,11,1,10
60,מעלה אדומים,פרשת ואתחנן,PLTpvRg1R637_RB29XEHViF9qlnSwD_UbP,ser_8551669137223635,13,0,13
60,מעלה אדומים,פרשת דברים,PLTpvRg1R63791ngg7m-oL2re3SEAaL2aT,ser_4183574044891295,15,0,15
60,מעלה אדומים,תקראו אותם - תשעה באב,PLTpvRg1R637-tB2UrMUyaAE3KJ3tXJEaZ,ser_5324988270012831,14,5,9
60,מעלה אדומים,פרשת מסעי,PLTpvRg1R637-oUM0NeE4ojBaBpIfdfZhE,ser_4483523293849391,18,1,17
60,מעלה אדומים,פרשת מטות,PLTpvRg1R6378bZyvOO-at6xMKJWoUWu_1,ser_6159350938005068,19,4,15
60,מעלה אדומים,פרשת פִּינְחָס,PLTpvRg1R637-K1C-J-ZCRJ2Vvd0lUVSpA,ser_9944325910872890,18,2,16
60,מעלה אדומים,פרשת בלק,PLTpvRg1R6378rriyamxNLtrJRH0kUVBvZ,ser_7099177919791020,19,0,19
60,מעלה אדומים,פרשת חקת,PLTpvRg1R637-zy7WP7KNVPrObWh1kcJWf,ser_6579260330062788,18,1,17
60,מעלה אדומים,פרשת קרח,PLTpvRg1R637_pntkGcjCWnRkEUdWrvf3b,ser_9883884652641619,18,0,18
60,מעלה אדומים,פרשת שלח,PLTpvRg1R637-srTxYoMZXW-OTKWhPoxxI,ser_4043454382400247,19,1,18
60,מעלה אדומים,פרשת בהעלותך,PLTpvRg1R6378l_dUyQoYUhrswMhsjO41A,ser_5965042194228660,18,1,17
60,מעלה אדומים,פרשת נשא,PLTpvRg1R637_qXstCf5Hg2EgvPvru9Qbd,ser_1110463091984560,18,2,16
60,מעלה אדומים,פרשת במדבר,PLTpvRg1R637-Ii3rMXQRhPQrRoQjPuE4Q,ser_1346238371173412,17,1,16
60,מעלה אדומים,פרשת בחוקותי,PLTpvRg1R6378DUROYCPX-JfRUTagbZivk,ser_6604105938564318,15,1,14
60,מעלה אדומים,פרשת בהר,PLTpvRg1R637-liU4VvaRvkEg09lj5RVZu,ser_2173600946195626,16,1,15
60,מעלה אדומים,פרשת אמור,PLTpvRg1R63787aTn9klbsbgKEevfucmG0,ser_5640539630545421,16,1,15
60,מעלה אדומים,פרשת קדושים,PLTpvRg1R637_lFg2p_o23jjMX-B6A0OEM,ser_7685201913769268,10,0,10
60,מעלה אדומים,פרשת אחרי מות,PLTpvRg1R637-MQ5fJHwgjMB-atbl5UHK-,ser_9992470283813975,16,1,15
60,מעלה אדומים,פרשת מצורע,PLTpvRg1R6379pxaluwLe0mOpW5ACUVgIU,ser_4768781993092858,13,0,13
60,מעלה אדומים,פרשת תזריע,PLTpvRg1R637-ByFYePOI96OCIF4jSNBaR,ser_2253535022793813,15,1,14
60,מעלה אדומים,פרשת שמיני,PLTpvRg1R637-_vVnBOXqZAAeioO4YrbG8,ser_7380432022169981,14,2,12
60,מעלה אדומים,פרשת צו,PLTpvRg1R637-gpYzMUb9JEpHrll-2JQQk,ser_5117913864577221,11,2,9
60,מעלה אדומים,פרשת ויקרא,PLTpvRg1R6378JerqsDHNIA-v8cgw9HqG3,ser_7345579094225600,14,1,13
60,מעלה אדומים,פרשת ויקהל,PLTpvRg1R637_s-L8izcEgJ4yDHf5HBe1G,ser_3320010977981355,14,1,13
60,מעלה אדומים,פרשת תצוה,PLTpvRg1R637_uZzVssJmkM4Cgc9tb-5jj,ser_6433595008620108,13,0,13
60,מעלה אדומים,פרשת תרומה,PLTpvRg1R637_0LvCqfSaxsvl2yi5W4a-z,ser_3517237212745280,19,2,17
60,מעלה אדומים,פרשת משפטים,PLTpvRg1R637_4l33Q3l0eV8eTm8vKjWp3,ser_8312121835590610,19,1,18
60,מעלה אדומים,פרשת יתרו,PLTpvRg1R6379V2y3PeeASLXQDkp-doPFp,ser_6472747597794979,21,1,20
60,מעלה אדומים,פרשת בשלח,PLTpvRg1R6379SOb9tWPD2oJqIImsNXDkm,ser_2994069413025502,19,2,17
60,מעלה אדומים,פרשת בא,PLTpvRg1R6379o_gU_Elj4B0Q6IawyzQPO,ser_3905656485085033,17,1,16
60,מעלה אדומים,פרשת וארא,PLTpvRg1R637_AET_pZ1XKnIMjSJpDjW5v,ser_5611533879634863,19,2,17
60,מעלה אדומים,פרשת שמות,PLTpvRg1R6378bp-V5TfweepIxx9aTAPgV,ser_5641482427587404,19,1,18
60,מעלה אדומים,פרשת ויחי,PLTpvRg1R6379PcWKxikMHTNLNtm8I-p-b,ser_3934010446560194,17,1,16
60,מעלה אדומים,פרשת וישב,PLTpvRg1R6379OEKdMLErac2_4QJutMO1C,ser_9049895828520436,17,2,15
60,מעלה אדומים,פרשת וישלח,PLTpvRg1R637_LInKD8JoLtNu8stytRm69,ser_1035361392483796,23,1,22
60,מעלה אדומים,פרשת ויצא,PLTpvRg1R63791hR6cUWCrN9vOGy1TIXWz,ser_1439211204607282,22,1,21
60,מעלה אדומים,פרשת תולדות,PLTpvRg1R637-KgowR9s4WEmwGE5Mxhayl,ser_4238098711433168,19,1,18
60,מעלה אדומים,פרשת חיי שרה,PLTpvRg1R637-08zz8gmZ5uIRE_kiVIVMc,ser_6699381795855086,16,1,15
60,מעלה אדומים,פרשת וירא,PLTpvRg1R6379GOcXTrQxf25DbE9rpr3cA,ser_1563032040779542,20,1,19
60,מעלה אדומים,פרשת לך לך,PLTpvRg1R63788jrRTPAhuQsJ-k5nGwZw-,ser_3273614082151530,24,5,19
60,מעלה אדומים,פרשת נח,PLTpvRg1R637-j_so0YhN-1k8bf9wp1uRT,ser_9998431130664329,15,4,11
60,מעלה אדומים,פרשת בראשית,PLTpvRg1R637-STkHVUALVNQt_mkX8CkVR,ser_1582507653072263,10,1,9
60,מעלה אדומים,"הרמב""ם היומי (יד) - ספר שופטים | הרב חיים סבתו",PLTpvRg1R637-2JcKm8qD3temkxTukIW93,ser_2425203966762712,78,0,78
60,מעלה אדומים,"הרמב""ם היומי (יג) - ספר משפטים | הרב חיים סבתו",PLTpvRg1R637-RYrRDO0e7ft1Ks0IfIkff,ser_9101454523994742,72,0,72
60,מעלה אדומים,"הרמב""ם היומי (יב) - ספר קנין | הרב חיים סבתו",PLTpvRg1R637_fzTaQIpLmr8bHTIGVo8ku,ser_2570751207114138,69,0,69
60,מעלה אדומים,"הרמב""ם היומי (יא) - ספר נזקים | הרב חיים סבתו",PLTpvRg1R637_gXkh1HlQgutNKX0OqtXMc,ser_2111091904009069,59,0,59
60,מעלה אדומים,"הרמב""ם היומי (י) - ספר טהרה | הרב חיים סבתו",PLTpvRg1R637_NZL5wxgIkrSHT1_hDQ1a9,ser_6909970520205941,137,0,137
60,מעלה אדומים,"הרמב""ם היומי (ט) - ספר הקרבנות | הרב חיים סבתו",PLTpvRg1R6379F2LxG8tEsjy7tIz1Lcga0,ser_3670264970949200,44,0,44
60,מעלה אדומים,"הרמב""ם היומי (ח) - ספר עבודה | הרב חיים סבתו",PLTpvRg1R637-WN80UrxDG_Lb-FcGoEiPl,ser_2525282541689494,93,0,93
60,מעלה אדומים,"הרמב""ם היומי (ז) - ספר זרעים | הרב חיים סבתו",PLTpvRg1R6378Ml_WIVNRV5Yocr9u1nmvk,ser_8435528378901358,84,0,84
60,מעלה אדומים,"הרמב""ם היומי (ו) - ספר הפלאה | הרב חיים סבתו",PLTpvRg1R6378OokaH99Zj2cNA5RrUQbLi,ser_3947091673570414,42,0,42
60,מעלה אדומים,"הרמב""ם היומי (ד) - ספר נשים | הרב חיים סבתו",PLTpvRg1R637_sZWWr-_iEW0097ySYjiAt,ser_6110885803883746,53,0,53
60,מעלה אדומים,תקראו אותם - חנוכה,PLTpvRg1R6378elV3BkYxZQotn9ObpJ2Vz,ser_6796761126570453,15,9,6
60,מעלה אדומים,"הרמב""ם היומי (ג) - ספר זמנים | הרב חיים סבתו",PLTpvRg1R6378nWm1FQrCGz0AYsYdLbpNv,ser_7891312508315187,96,0,96
60,מעלה אדומים,"הרמב""ם היומי (ב) - ספר אהבה | הרב חיים סבתו",PLTpvRg1R6378RU2iDgnYkeD4OiQQ269iW,ser_7062317023892679,47,0,47
60,מעלה אדומים,"הרמב""ם היומי (א) - ספר המדע | הרב חיים סבתו",PLTpvRg1R637-wOfFTPXfs4WvuIn7WdRnr,ser_2545715357229161,50,0,50
60,מעלה אדומים,פרשיות המלחמה בתורה - הרב אפי ולץ,PLTpvRg1R6379PBs6dBz4_GqCLpD4vgvOq,ser_2968415943457940,17,9,8
60,מעלה אדומים,תקראו אותם - סוכות,PLTpvRg1R63781VVJDphzaN5K-WuLzcfmG,ser_1519709818532657,7,0,7
60,מעלה אדומים,תקראו אותם - אלול,PLTpvRg1R637-dD5XO0K41dH9Bcuw-274_,ser_3671987821432359,12,3,9
60,מעלה אדומים,תקראו אותם - שבועות,PLTpvRg1R6379OMAXxmQdOJB8gUhafyfQv,ser_6002109775987505,19,12,7
60,מעלה אדומים,תקראו אותם - פסח,PLTpvRg1R637_2MsGeNJPpCglrVY05b3Zg,ser_9146505319099196,47,35,12
60,מעלה אדומים,תקראו אותם - פורים,PLTpvRg1R6378fiVQkEnVNT34RvqpB_QOo,ser_8099888029091067,37,21,16
60,מעלה אדומים,"הרב יואב פלדמן - שיעורי עיון לפורים [תשפ""א]",PLTpvRg1R6378sqr-nM-l3CPZgmIWpFxW2,ser_3397573031006159,6,0,6
60,מעלה אדומים,"והגדת לבנך 3 (התש""ף)",PLTpvRg1R6378HpSdYFsRl5b3yb3iKcKtt,ser_8938352496982122,8,0,8
60,מעלה אדומים,הלכות פסח בימי הקורונה עם הרב אלישע אבינר,PLTpvRg1R637-bkaYrfK7n2oJnjbRVg-EW,ser_4534281051323800,7,0,7
60,מעלה אדומים,3 דקות של חינוך מאת הרב אלישע אבינר,PLTpvRg1R6378ZOZPmXn3ZRa1-yfyd26HC,ser_2387787800217175,378,372,6
61,ישיבת הכותל,"שיחות מו""ר רה""י - ה'תשפ""ו",PLwHtfxjPBu5uLAsHFW4BleEgenql5S_hv,ser_7211119428023188,84,27,57
61,ישיבת הכותל,"שיעורי חנוכה תשפ""ג - תשפ""ה",PLwHtfxjPBu5tjp4n6R34lR0QhxpN5J3LJ,ser_3739601044721861,35,26,9
61,ישיבת הכותל,ריקודי הודיה לה' יתברך I ישיבת הכותל,PLwHtfxjPBu5v4Vggplqr7nETTxN8L6SpY,ser_3228852264275541,65,59,6
61,ישיבת הכותל,"שיחות מו""ר רה""י - תשפ""ד",PLwHtfxjPBu5uXVBl0GpyZDN6q3RukRACf,ser_5940652407979486,109,38,71
61,ישיבת הכותל,"שיחות מו""ר הרב אביגדור נבנצל שליט""א - עם כתוביות",PLwHtfxjPBu5tdSt9wWfwo0a5JX0mjDknR,ser_9415580945152957,66,55,11
61,ישיבת הכותל,אור החיים הקדוש | הרב זיו ששון ארזי,PLwHtfxjPBu5tCRl807WC-smNPQz6TFvCI,ser_6413658240579170,108,102,6
61,ישיבת הכותל,חודש אלול,PLwHtfxjPBu5vCdkBu7I88pn0qmPqiQO34,ser_3029422214444000,22,7,15
61,ישיבת הכותל,בין הזמנים,PLwHtfxjPBu5svokuwVacBEfA45aQZ-Sca,ser_5180135749996434,6,0,6
61,ישיבת הכותל,ענייני תשעה באב,PLwHtfxjPBu5uw6-sDIApAmFMA9Fru8MsZ,ser_2163492355614481,25,7,18
61,ישיבת הכותל,ימי בין המיצרים,PLwHtfxjPBu5tdNutzELfKAopld5B4Dwfe,ser_6104131448778433,24,6,18
61,ישיבת הכותל,לימוד פרק ערבי פסחים עם הרב אהרון מורה,PLwHtfxjPBu5tyZFI9kHwhWvwqBjJ6_KnT,ser_1196313061345267,16,0,16
61,ישיבת הכותל,דעת תבונות - הרב יהושע טשרנפסקי,PLwHtfxjPBu5v_OkPvHxf8PlvgEPbkIxCy,ser_6529815792240925,10,0,10
61,ישיבת הכותל,יציאה מהמיצרים - הרב גדי שלוין,PLwHtfxjPBu5v8D8bP_AVfNS53thcG8r7I,ser_6776522104304431,12,1,11
61,ישיבת הכותל,הרב יגאל חבשוש מהכותל המערבי,PLwHtfxjPBu5vcX2faIHSOGdSWN4qOfrn9,ser_5074827340295880,54,25,29
61,ישיבת הכותל,"הגדה של פסח ע""פ עולת ראיה",PLwHtfxjPBu5vMjDgOkPOE7dCWd7b3edKq,ser_4439501687843120,13,2,11
61,ישיבת הכותל,"לימוד סימני הסדר וההגדה - מו""ר ראש הישיבה הרב ברוך וידר שליט""א",PLwHtfxjPBu5sUVU04RXrxz-jx78tqcLHb,ser_9180847240043835,13,1,12
61,ישיבת הכותל,"ממשיכים בתורה! - לו""ז שיעורים גדוש בכל טוב",PLwHtfxjPBu5u25MRnNR_Ghfgm1xlXg5v7,ser_6896949754555189,118,55,63
61,ישיבת הכותל,ספר בראשית,PLwHtfxjPBu5si77wGhBJMcV5lC1W7XjtH,ser_3077391524288146,74,12,62
